candidate,R2_THRESHOLD,TARGET_VOL,VOL_WINDOW,SWITCH_BUFFER,MAX_LEV,segment,start,end,rows,ann_return,ann_vol,sharpe_repo,max_dd,total_return,maxdd_start,maxdd_trough,trades,asset_switches,cash_days,holding_days,holding_day_ratio,avg_weight,max_weight,cost_total,qqq_days,gld_days,buffer_blocked_days
switch_1.43,0.3,0.25,20,1.43,1.5,last_10y,2016-05-09,2026-05-15,2520,0.3450878715910153,0.22680200119947153,1.4212971486583261,-0.20406939087643194,18.386819531518302,2016-05-09,2022-05-13,889,238,343,2177,0.8638888888888889,1.1929402981817203,1.5,0.0,1282,895,56
switch_1.43,0.3,0.25,20,1.43,1.5,last_5y,2021-05-11,2026-05-15,1260,0.39230822937956367,0.24571381677171011,1.4704964154871163,-0.20406939087643194,4.232111016930089,2021-05-11,2022-05-13,517,123,173,1087,0.8626984126984127,1.1688465021127723,1.5,0.0,580,507,23
switch_1.43,0.3,0.25,20,1.43,1.5,last_3y,2023-05-11,2026-05-15,756,0.5305349501210359,0.25363271724825037,1.806103796440952,-0.19027154989128692,2.5853351078958777,2023-05-11,2026-03-30,291,70,95,661,0.8743386243386243,1.185281495188766,1.5,0.0,373,288,11
switch_1.43,0.3,0.25,20,1.43,1.5,last_1y,2025-05-15,2026-05-15,252,0.9155889791398883,0.26829382061344825,2.5628957319621675,-0.1902715498912868,0.9155889791398883,2025-05-15,2026-03-30,120,18,36,216,0.8571428571428571,1.0947638142793688,1.5,0.0,120,96,7
switch_1.44,0.3,0.25,20,1.44,1.5,full,2015-07-13,2026-05-15,2728,0.34375699614673727,0.2256260369854202,1.423103520590402,-0.20406939087643172,23.4975647304985,2015-07-13,2022-05-13,939,258,382,2346,0.8599706744868035,1.1917730743746795,1.5,0.0,1351,995,63
switch_1.44,0.3,0.25,20,1.44,1.5,last_10y,2016-05-09,2026-05-15,2520,0.3484319486094769,0.22694093377483804,1.431518532095756,-0.20406939087643172,18.87423120239426,2016-05-09,2022-05-13,897,238,343,2177,0.8638888888888889,1.1927344556991348,1.5,0.0,1281,896,57
switch_1.44,0.3,0.25,20,1.44,1.5,last_5y,2021-05-11,2026-05-15,1260,0.39923978198344234,0.24596697313166938,1.489450033408801,-0.20406939087643183,4.3636535821674745,2021-05-11,2022-05-13,525,123,173,1087,0.8626984126984127,1.1684348171476016,1.5,0.0,579,508,24
switch_1.44,0.3,0.25,20,1.44,1.5,last_3y,2023-05-11,2026-05-15,756,0.5305349501210348,0.25363271724825,1.80610379644095,-0.19027154989128647,2.5853351078958693,2023-05-11,2026-03-30,291,70,95,661,0.8743386243386243,1.1852814951887647,1.5,0.0,373,288,11
switch_1.44,0.3,0.25,20,1.44,1.5,last_1y,2025-05-15,2026-05-15,252,0.9155889791398848,0.26829382061344786,2.5628957319621657,-0.19027154989128647,0.9155889791398848,2025-05-15,2026-03-30,120,18,36,216,0.8571428571428571,1.0947638142793672,1.5,0.0,120,96,7
switch_1.45,0.3,0.25,20,1.45,1.5,full,2015-07-13,2026-05-15,2728,0.3422968199615748,0.22560113334465448,1.4184104784428344,-0.2040693908764314,23.210926520263094,2015-07-13,2022-05-13,939,258,382,2346,0.8599706744868035,1.1918415078000473,1.5,0.0,1350,996,64
switch_1.45,0.3,0.25,20,1.45,1.5,last_10y,2016-05-09,2026-05-15,2520,0.34684582182639434,0.226914208078866,1.4264670531055172,-0.2040693908764314,18.64168914671121,2016-05-09,2022-05-13,897,238,343,2177,0.8638888888888889,1.1928085375977078,1.5,0.0,1280,897,58
switch_1.45,0.3,0.25,20,1.45,1.5,last_5y,2021-05-11,2026-05-15,1260,0.3992397819834428,0.2459669731316697,1.489450033408801,-0.20406939087643128,4.363653582167482,2021-05-11,2022-05-13,525,123,173,1087,0.8626984126984127,1.1684348171476022,1.5,0.0,579,508,24
switch_1.45,0.3,0.25,20,1.45,1.5,last_3y,2023-05-11,2026-05-15,756,0.5305349501210348,0.25363271724825026,1.806103796440948,-0.19027154989128703,2.5853351078958697,2023-05-11,2026-03-30,291,70,95,661,0.8743386243386243,1.1852814951887654,1.5,0.0,373,288,11
switch_1.45,0.3,0.25,20,1.45,1.5,last_1y,2025-05-15,2026-05-15,252,0.9155889791398855,0.2682938206134481,2.562895731962162,-0.19027154989128692,0.9155889791398855,2025-05-15,2026-03-30,120,18,36,216,0.8571428571428571,1.094763814279368,1.5,0.0,120,96,7
switch_1.46,0.3,0.25,20,1.46,1.5,full,2015-07-13,2026-05-15,2728,0.3422968199615748,0.22560113334465448,1.4184104784428344,-0.2040693908764314,23.210926520263094,2015-07-13,2022-05-13,939,258,382,2346,0.8599706744868035,1.1918415078000473,1.5,0.0,1350,996,64
switch_1.46,0.3,0.25,20,1.46,1.5,last_10y,2016-05-09,2026-05-15,2520,0.34684582182639434,0.226914208078866,1.4264670531055172,-0.2040693908764314,18.64168914671121,2016-05-09,2022-05-13,897,238,343,2177,0.8638888888888889,1.1928085375977078,1.5,0.0,1280,897,58
switch_1.46,0.3,0.25,20,1.46,1.5,last_5y,2021-05-11,2026-05-15,1260,0.3992397819834428,0.2459669731316697,1.489450033408801,-0.20406939087643128,4.363653582167482,2021-05-11,2022-05-13,525,123,173,1087,0.8626984126984127,1.1684348171476022,1.5,0.0,579,508,24
switch_1.46,0.3,0.25,20,1.46,1.5,last_3y,2023-05-11,2026-05-15,756,0.5305349501210348,0.25363271724825026,1.806103796440948,-0.19027154989128703,2.5853351078958697,2023-05-11,2026-03-30,291,70,95,661,0.8743386243386243,1.1852814951887654,1.5,0.0,373,288,11
switch_1.46,0.3,0.25,20,1.46,1.5,last_1y,2025-05-15,2026-05-15,252,0.9155889791398855,0.2682938206134481,2.562895731962162,-0.19027154989128692,0.9155889791398855,2025-05-15,2026-03-30,120,18,36,216,0.8571428571428571,1.094763814279368,1.5,0.0,120,96,7
switch_1.47,0.3,0.25,20,1.47,1.5,full,2015-07-13,2026-05-15,2728,0.3442080781201122,0.22566877411261504,1.4243650622882087,-0.2040693908764314,23.586734531418355,2015-07-13,2022-05-13,939,258,382,2346,0.8599706744868035,1.1918415078000473,1.5,0.0,1352,994,66
switch_1.47,0.3,0.25,20,1.47,1.5,last_10y,2016-05-09,2026-05-15,2520,0.34892196838638534,0.22698690523206125,1.4328764043079014,-0.2040693908764314,18.946572321164545,2016-05-09,2022-05-13,897,238,343,2177,0.8638888888888889,1.1928085375977078,1.5,0.0,1282,895,60
switch_1.47,0.3,0.25,20,1.47,1.5,last_5y,2021-05-11,2026-05-15,1260,0.40355692926898157,0.24609890620076116,1.5013174980255495,-0.2040693908764314,4.446909544451815,2021-05-11,2022-05-13,525,123,173,1087,0.8626984126984127,1.1684348171476022,1.5,0.0,581,506,26
switch_1.47,0.3,0.25,20,1.47,1.5,last_3y,2023-05-11,2026-05-15,756,0.5384134401615706,0.2538383931217987,1.8251066651198427,-0.19027154989128692,2.640987569403097,2023-05-11,2026-03-30,291,70,95,661,0.8743386243386243,1.1852814951887654,1.5,0.0,375,286,13
switch_1.47,0.3,0.25,20,1.47,1.5,last_1y,2025-05-15,2026-05-15,252,0.9155889791398844,0.26829382061344814,2.562895731962159,-0.1902715498912868,0.9155889791398844,2025-05-15,2026-03-30,120,18,36,216,0.8571428571428571,1.094763814279368,1.5,0.0,120,96,7
switch_1.48,0.3,0.25,20,1.48,1.5,full,2015-07-13,2026-05-15,2728,0.3422306002094986,0.22568174578211944,1.4177647232879658,-0.2040693908764316,23.197999781526384,2015-07-13,2022-05-13,939,258,382,2346,0.8599706744868035,1.1918206015254482,1.5,0.0,1351,995,67
switch_1.48,0.3,0.25,20,1.48,1.5,last_10y,2016-05-09,2026-05-15,2520,0.3489219683863862,0.2269869052320614,1.4328764043079019,-0.2040693908764315,18.946572321164673,2016-05-09,2022-05-13,897,238,343,2177,0.8638888888888889,1.1928085375977078,1.5,0.0,1282,895,60
switch_1.48,0.3,0.25,20,1.48,1.5,last_5y,2021-05-11,2026-05-15,1260,0.4035569292689827,0.24609890620076144,1.5013174980255506,-0.2040693908764316,4.446909544451835,2021-05-11,2022-05-13,525,123,173,1087,0.8626984126984127,1.1684348171476029,1.5,0.0,581,506,26
switch_1.48,0.3,0.25,20,1.48,1.5,last_3y,2023-05-11,2026-05-15,756,0.5384134401615714,0.25383839312179884,1.8251066651198427,-0.1902715498912867,2.6409875694031038,2023-05-11,2026-03-30,291,70,95,661,0.8743386243386243,1.185281495188766,1.5,0.0,375,286,13
