candidate,TARGET_VOL,MAX_LEV,R2_THRESHOLD,VOL_WINDOW,segment,start,end,rows,ann_return,ann_vol,sharpe_repo,max_dd,total_return,maxdd_start,maxdd_trough,trades,cash_days,holding_days,holding_day_ratio,avg_weight,max_weight,pct_at_max_lev,pct_below_1x,avg_final_exposure,max_final_exposure,turnover_sum,cost_total,overheat_days,overheat_triggers,staged_initials,staged_fills
tv_30_lev_2,0.3,2.0,0.2,80,last_1y,2025-04-22,2026-05-08,252,1.2004809903400755,0.29535859833591455,2.8199592907643707,-0.15278620896944606,1.2004809903400755,2025-10-22,2025-12-16,83,19,229,0.9087301587301587,1.4356406214200308,1.85408183302654,0.0,0.0,1.124300715918489,1.85408183302654,92.87927305063928,0.09287927305063928,4,2,38,27
tv_32p5_lev_1,0.325,1.0,0.2,80,full,2011-12-09,2026-05-08,3496,0.2772450180151702,0.19303684165404517,1.3643558841792096,-0.19286260851984727,28.808759583966438,2016-03-08,2016-06-22,661,740,2726,0.7797482837528604,1.0,1.0,1.0,0.0,0.6970823798627003,1.0,588.5,0.5885,30,11,308,267
tv_32p5_lev_1,0.325,1.0,0.2,80,last_10y,2015-12-18,2026-05-08,2520,0.3052852118977327,0.19688152762503433,1.451824622144167,-0.19286260851984727,13.356685191651023,2016-03-08,2016-06-22,534,225,2275,0.9027777777777778,1.0,1.0,1.0,0.0,0.8055555555555556,1.0,491.5,0.49150000000000005,20,7,261,222
tv_32p5_lev_1,0.325,1.0,0.2,80,last_5y,2021-02-24,2026-05-08,1260,0.48007469387195245,0.2062116125213223,2.004766871818097,-0.15730321187026464,6.102613228448788,2022-03-22,2022-06-09,287,101,1141,0.9055555555555556,1.0,1.0,1.0,0.0,0.8063492063492064,1.0,268.0,0.268,18,6,141,118
tv_32p5_lev_1,0.325,1.0,0.2,80,last_3y,2023-03-22,2026-05-08,756,0.7653255542819892,0.21940398961796764,2.701309675246971,-0.1187470271566533,4.501415210742535,2025-10-22,2025-12-16,175,53,695,0.9193121693121693,1.0,1.0,1.0,0.0,0.8062169312169312,1.0,167.5,0.1675,8,4,89,73
tv_32p5_lev_1,0.325,1.0,0.2,80,last_1y,2025-04-22,2026-05-08,252,0.6614439368844596,0.2033854237517213,2.5995263901481622,-0.11874702715665342,0.6614439368844596,2025-10-22,2025-12-16,72,19,229,0.9087301587301587,1.0,1.0,1.0,0.0,0.7698412698412699,1.0,67.5,0.0675,4,2,38,27
tv_32p5_lev_1p25,0.325,1.25,0.2,80,full,2011-12-09,2026-05-08,3496,0.3446351396734857,0.23781159699423904,1.364175357255075,-0.23699909789796048,59.83194010804259,2016-03-08,2016-12-05,675,740,2726,0.7797482837528604,1.2327550806088223,1.25,0.8958810068649885,0.0,0.8613184146652049,1.25,725.6976987978246,0.7256976987978246,30,11,308,267
tv_32p5_lev_1p25,0.325,1.25,0.2,80,last_10y,2015-12-18,2026-05-08,2520,0.38367744234684964,0.24291022393675718,1.458396230990132,-0.23699909789796048,24.724598685981245,2016-03-08,2016-12-05,545,225,2275,0.9027777777777778,1.237289278755423,1.25,0.9186507936507936,0.0,0.9969422430470973,1.25,605.5721908138922,0.6055721908138922,20,7,261,222
tv_32p5_lev_1p25,0.325,1.25,0.2,80,last_5y,2021-02-24,2026-05-08,1260,0.6189887438116879,0.2568563299369634,2.0041132171885856,-0.19309185199804857,10.122928523456757,2022-03-22,2022-06-09,293,101,1141,0.9055555555555556,1.2460866749795343,1.25,0.9523809523809523,0.0,1.0043902522920884,1.25,334.79651363018525,0.33479651363018526,18,6,141,118
tv_32p5_lev_1p25,0.325,1.25,0.2,80,last_3y,2023-03-22,2026-05-08,756,1.0137728049052526,0.2728492901172149,2.7029897287849702,-0.1467759644332579,7.166414412358275,2025-10-22,2025-12-16,181,53,695,0.9193121693121693,1.243477791632557,1.25,0.9206349206349206,0.0,1.0018607379471312,1.25,209.17151363018525,0.20917151363018524,8,4,89,73
tv_32p5_lev_1p25,0.325,1.25,0.2,80,last_1y,2025-04-22,2026-05-08,252,0.87414114334683,0.25421050657670735,2.5998382918807916,-0.1467759644332579,0.87414114334683,2025-10-22,2025-12-16,72,19,229,0.9087301587301587,1.25,1.25,1.0,0.0,0.9623015873015873,1.25,84.375,0.084375,4,2,38,27
tv_32p5_lev_1p5,0.325,1.5,0.2,80,full,2011-12-09,2026-05-08,3496,0.3907695574800296,0.27415408344810055,1.3401667859585285,-0.28046479207943764,96.13624893570085,2016-03-08,2016-12-05,697,740,2726,0.7797482837528604,1.4267117799122375,1.5,0.6026887871853547,0.0,0.9970855849117892,1.5,837.4910428550359,0.837491042855036,30,11,308,267
tv_32p5_lev_1p5,0.325,1.5,0.2,80,last_10y,2015-12-18,2026-05-08,2520,0.4311146012706355,0.27992983893420004,1.4204244714745051,-0.28046479207943764,35.03662639550605,2016-03-08,2016-12-05,563,225,2275,0.9027777777777778,1.4330178418639348,1.5,0.6515873015873016,0.0,1.1545578347593972,1.5,697.3601738226512,0.6973601738226513,20,7,261,222
tv_32p5_lev_1p5,0.325,1.5,0.2,80,last_5y,2021-02-24,2026-05-08,1260,0.7134506556571671,0.29632607810271544,1.9648650115621809,-0.22755134452058368,13.769235318585132,2022-03-22,2022-06-09,300,101,1141,0.9055555555555556,1.43140067734711,1.5,0.5087301587301587,0.0,1.1528462378599094,1.5,385.26882383696403,0.38526882383696404,18,6,141,118
tv_32p5_lev_1p5,0.325,1.5,0.2,80,last_3y,2023-03-22,2026-05-08,756,1.177227053734013,0.30876708885558807,2.6746506908353225,-0.17011862286542767,9.32074781674545,2024-07-15,2024-09-10,188,53,695,0.9193121693121693,1.3856677955785166,1.5,0.18121693121693122,0.0,1.1148627773855628,1.5,234.51882383696403,0.23451882383696404,8,4,89,73
tv_32p5_lev_1p5,0.325,1.5,0.2,80,last_1y,2025-04-22,2026-05-08,252,1.0252726505409027,0.28737766105143914,2.6011033304633053,-0.1652707959335724,1.0252726505409027,2025-10-22,2025-12-16,75,19,229,0.9087301587301587,1.4016983774146237,1.452232893542443,0.0,0.0,1.0863917258631717,1.452232893542443,94.8519861873186,0.0948519861873186,4,2,38,27
