candidate,segment,r2_threshold,switch_buffer,start,end,rows,ann_return,ann_vol,sharpe_repo,max_dd,avg_weight,held_day_avg_weight,holding_days,holding_day_ratio,avg_turnover,turnover_total,cost_total,trade_days,score_min,score_max
r2_0.100,last_5y,0.1,1.0,2021-06-25,2026-09-02,1260,0.4858297490860457,0.25377644855664017,1.685782036768552,-0.1971918500659443,0.8420634920634921,1.0,1061,0.8420634920634921,0.21428571428571427,270.0,0.27,159,0.5,5.0
r2_0.100,last_3y,0.1,1.0,2023-07-24,2026-09-02,756,0.6160900694755831,0.2815697912192586,1.843844465411276,-0.1586891972572555,0.8743386243386243,1.0,661,0.8743386243386243,0.24074074074074073,182.0,0.18200000000000002,105,0.5,5.0
r2_0.100,last_1y,0.1,1.0,2025-08-20,2026-09-02,252,0.3844914818306848,0.3002254888767606,1.2340056410274498,-0.1586891972572555,0.8373015873015873,1.0,211,0.8373015873015873,0.30952380952380953,78.0,0.078,45,0.5,5.0
r2_0.125,full,0.125,1.0,2011-12-09,2026-09-02,3578,0.2753723067439682,0.22000924268148,1.215096289932864,-0.22830529075342676,0.6950810508664058,1.0,2487,0.6950810508664058,0.1679709334823924,601.0,0.601,392,0.5,5.0
r2_0.125,last_10y,0.125,1.0,2016-04-21,2026-09-02,2520,0.3335864996024325,0.22575243670498332,1.3873089621511991,-0.2141608810137582,0.7924603174603174,1.0,1997,0.7924603174603174,0.19960317460317462,503.0,0.503,312,0.5,5.0
r2_0.125,last_5y,0.125,1.0,2021-06-25,2026-09-02,1260,0.49086806644673886,0.2536830603342129,1.6996747690277856,-0.19719185006594453,0.8420634920634921,1.0,1061,0.8420634920634921,0.21428571428571427,270.0,0.27,159,0.5,5.0
r2_0.125,last_3y,0.125,1.0,2023-07-24,2026-09-02,756,0.6252337533919141,0.28142218108883155,1.8647514926379516,-0.1586891972572555,0.8743386243386243,1.0,661,0.8743386243386243,0.24074074074074073,182.0,0.18200000000000002,105,0.5,5.0
r2_0.125,last_1y,0.125,1.0,2025-08-20,2026-09-02,252,0.3844914818306904,0.30022548887676054,1.2340056410274525,-0.15868919725725517,0.8373015873015873,1.0,211,0.8373015873015873,0.30952380952380953,78.0,0.078,45,0.5,5.0
r2_0.150,full,0.15,1.0,2011-12-09,2026-09-02,3578,0.27714233696678203,0.2197779962560888,1.222460334055285,-0.22830529075342598,0.6917272219116825,1.0,2475,0.6917272219116825,0.1685299049748463,603.0,0.603,393,0.5,5.0
r2_0.150,last_10y,0.15,1.0,2016-04-21,2026-09-02,2520,0.3361177052643234,0.2255637294097357,1.3966966829491716,-0.21855882634813428,0.7908730158730158,1.0,1993,0.7908730158730158,0.2003968253968254,505.0,0.505,313,0.5,5.0
