candidate,R2_THRESHOLD,TARGET_VOL,VOL_WINDOW,MAX_LEV,ann_return_full,ann_return_last_10y,ann_return_last_1y,ann_return_last_3y,ann_return_last_5y,max_dd_full,max_dd_last_10y,max_dd_last_1y,max_dd_last_3y,max_dd_last_5y,sharpe_repo_full,sharpe_repo_last_10y,sharpe_repo_last_1y,sharpe_repo_last_3y,sharpe_repo_last_5y,ann_vol_full,ann_vol_last_10y,ann_vol_last_1y,ann_vol_last_3y,ann_vol_last_5y,holding_day_ratio_full,holding_day_ratio_last_10y,holding_day_ratio_last_1y,holding_day_ratio_last_3y,holding_day_ratio_last_5y,avg_weight_full,avg_weight_last_10y,avg_weight_last_1y,avg_weight_last_3y,avg_weight_last_5y,max_weight_full,max_weight_last_10y,max_weight_last_1y,max_weight_last_3y,max_weight_last_5y,decision_hint,stability_label
r2_0.30_no_tv_vw_60,0.3,,60,1.5,0.22868072775057557,0.22977063566427125,0.5060380692294328,0.34954844238460536,0.2614271829624044,-0.16742622658789652,-0.16742622658789663,-0.16186179280339452,-0.16186179280339452,-0.16742622658789663,1.2284551056988224,1.218284720314118,1.8898593187215538,1.5909687710724387,1.2968920165355367,0.1810745381215321,0.18371341463359844,0.231215998115817,0.20124741717598052,0.1935937389187878,0.8599706744868035,0.8638888888888889,0.8571428571428571,0.8743386243386243,0.8626984126984127,0.8599706744868035,0.8638888888888889,0.8571428571428571,0.8743386243386243,0.8626984126984127,1.0,1.0,1.0,1.0,1.0,exploratory,pending
r2_0.30_tv_15_vw_60,0.3,0.15,60,1.5,0.19294245837804724,0.18955802731005833,0.4448015831177603,0.3135511060519356,0.2412701427572097,-0.1726489812320562,-0.1726489812320562,-0.1040087690289262,-0.12334274893960218,-0.14241730849361545,1.1600194087540598,1.144891792458266,2.250381461152608,1.6687705324758308,1.3845188237580757,0.16368831888594323,0.16331871857147204,0.1701292079607777,0.17241220247772196,0.1661321196366071,0.8599706744868035,0.8638888888888889,0.8571428571428571,0.8743386243386243,0.8626984126984127,0.8915015205089928,0.8891799445107491,0.636281094286389,0.8063202064934756,0.802815353365493,1.5,1.5,1.4877416507166947,1.4877416507166947,1.5,exploratory,pending
r2_0.30_tv_20_vw_60,0.3,0.2,60,1.5,0.2508891523261225,0.2457955901834219,0.5522332258774372,0.40147136372950776,0.30679572416907863,-0.18068058848023827,-0.18068058848023838,-0.13712195658550663,-0.16281284541573304,-0.18068058848023827,1.1998288105545283,1.1806215643768103,2.116513200452532,1.621579530365906,1.3594602422677629,0.20399429401860775,0.2038337649485304,0.21947998188972567,0.2236822028920011,0.21370636839091026,0.8599706744868035,0.8638888888888889,0.8571428571428571,0.8743386243386243,0.8626984126984127,1.0852583008050176,1.0813038375193023,0.8025222660931723,1.0346675370013367,1.0140592146739793,1.5,1.5,1.5,1.5,1.5,exploratory,pending
r2_0.30_tv_25_vw_60,0.3,0.25,60,1.5,0.2839691446297794,0.2803390600925235,0.6170084534539162,0.45954504488314796,0.3521456386294066,-0.19442134421017476,-0.19442134421017476,-0.16845582093027123,-0.16845582093027112,-0.19442134421017487,1.205172063440696,1.188862811500918,1.980214975192957,1.6046609376042922,1.3454652003967986,0.22932451053154704,0.23027841678777214,0.26043899456110725,0.25622392227627083,0.24698726609512842,0.8599706744868035,0.8638888888888889,0.8571428571428571,0.8743386243386243,0.8626984126984127,1.1792389978401505,1.1764276006060057,0.9316075549986286,1.1515729703028472,1.1374144544696383,1.5,1.5,1.5,1.5,1.5,exploratory,pending
r2_0.30_tv_30_vw_60,0.3,0.3,60,1.5,0.3012672207412008,0.29895489151492827,0.6904532772453624,0.49577327411840133,0.37457456624056484,-0.22755471769573,-0.22755471769573,-0.1901360773271893,-0.1901360773271893,-0.2275547176957301,1.1917602390877795,1.1762464049778394,1.9408099974686854,1.6001578812900283,1.313627520595029,0.2466030648786162,0.248816050010251,0.29360581428185367,0.275472249954444,0.2700265997933323,0.8599706744868035,0.8638888888888889,0.8571428571428571,0.8743386243386243,0.8626984126984127,1.2285086528319078,1.2293141289386684,1.0457724618720152,1.2116405444891196,1.218099014178192,1.5,1.5,1.5,1.5,1.5,exploratory,pending
r2_0.30_no_tv_vw_80,0.3,,80,1.5,0.22868072775057557,0.22977063566427125,0.5060380692294328,0.34954844238460536,0.2614271829624044,-0.16742622658789652,-0.16742622658789663,-0.16186179280339452,-0.16186179280339452,-0.16742622658789663,1.2284551056988224,1.218284720314118,1.8898593187215538,1.5909687710724387,1.2968920165355367,0.1810745381215321,0.18371341463359844,0.231215998115817,0.20124741717598052,0.1935937389187878,0.8599706744868035,0.8638888888888889,0.8571428571428571,0.8743386243386243,0.8626984126984127,0.8599706744868035,0.8638888888888889,0.8571428571428571,0.8743386243386243,0.8626984126984127,1.0,1.0,1.0,1.0,1.0,exploratory,pending
r2_0.30_tv_15_vw_80,0.3,0.15,80,1.5,0.18851217288824507,0.18604421768762003,0.3949955213653624,0.30431747723533875,0.22906736150095353,-0.17438151187982043,-0.1743815118798202,-0.11541141267558941,-0.11541141267558941,-0.14028810460776575,1.1407410880622375,1.131234777118593,2.0951390642657777,1.6562501265370013,1.340092339501396,0.1631066679119629,0.16256359675911133,0.1655978808320196,0.16910148455980273,0.163991511400083,0.8599706744868035,0.8638888888888889,0.8571428571428571,0.8743386243386243,0.8626984126984127,0.8811652539025386,0.876598953388151,0.5931017951608641,0.7873899082255754,0.789669556785697,1.5,1.5,1.4249665028375833,1.4249665028375833,1.5,exploratory,pending
r2_0.30_tv_20_vw_80,0.3,0.2,80,1.5,0.24566685493719476,0.2403727817922694,0.48972187449467564,0.3915912870911673,0.29187597302732304,-0.18762211123912176,-0.18762211123912176,-0.15195475040648365,-0.15195475040648365,-0.1799822134365876,1.1771752003721203,1.157302762518523,1.9684597105218533,1.6100557463421385,1.315026572479336,0.204434605133507,0.20423304818742358,0.2145043157281098,0.22040820161671212,0.21187587319562157,0.8599706744868035,0.8638888888888889,0.8571428571428571,0.8743386243386243,0.8626984126984127,1.0784908842253846,1.0727755895269626,0.7609498437601482,1.0173535134894187,1.0042617428273048,1.5,1.5,1.5,1.5,1.5,exploratory,pending
r2_0.30_tv_25_vw_80,0.3,0.25,80,1.5,0.2718877321016917,0.2672367335881167,0.5415530730239415,0.4395888036412616,0.32872543856163716,-0.20104754608331166,-0.20104754608331155,-0.17663954423934403,-0.17663954423934403,-0.20104754608331155,1.160442436552569,1.1406961226876167,1.8625141281391804,1.5609221192964249,1.2799543384424423,0.2301614393043842,0.23113436847600344,0.24961688276082325,0.25417405676934285,0.2456712879943654,0.8599706744868035,0.8638888888888889,0.8571428571428571,0.8743386243386243,0.8626984126984127,1.175630082930221,1.1720709786641441,0.8968980336807135,1.1448948782489285,1.1346500013494902,1.5,1.5,1.5,1.5,1.5,exploratory,pending
r2_0.30_tv_30_vw_80,0.3,0.3,80,1.5,0.29044685377646173,0.2872662523463694,0.615204035203992,0.47531360860193717,0.35440492871742935,-0.23488288621464393,-0.23488288621464382,-0.18933880205404308,-0.18933880205404297,-0.23488288621464393,1.1576687888160713,1.139677720441682,1.8476665206773377,1.5642624723078813,1.2653036057633573,0.24666345068569984,0.2488806126656814,0.2816822360436646,0.2723623568308162,0.26821300950377547,0.8599706744868035,0.8638888888888889,0.8571428571428571,0.8743386243386243,0.8626984126984127,1.2257969600285186,1.2263786138721422,1.023415823749627,1.2080034498314345,1.217711912992012,1.5,1.5,1.5,1.5,1.5,exploratory,pending
