score_gate_variant,position,days
exempt_159915_SZ+513030_SH+518880_SH,CASH,660
exempt_159915_SZ+513030_SH+518880_SH,159941.SZ,583
exempt_159915_SZ+513030_SH+518880_SH,518880.SH,477
exempt_159915_SZ+513030_SH+518880_SH,513030.SH,347
exempt_159915_SZ+513030_SH+518880_SH,159985.SZ,292
exempt_159915_SZ+513030_SH+518880_SH,513520.SH,159
exempt_159915_SZ+513520_SH,159915.SZ,983
exempt_159915_SZ+513520_SH,CASH,661
exempt_159915_SZ+513520_SH,159941.SZ,570
exempt_159915_SZ+513520_SH,518880.SH,460
exempt_159915_SZ+513520_SH,513030.SH,315
exempt_159915_SZ+513520_SH,159985.SZ,294
exempt_159915_SZ+513520_SH,513520.SH,218
exempt_159915_SZ+513520_SH+159985_SZ,159915.SZ,978
exempt_159915_SZ+513520_SH+159985_SZ,CASH,652
exempt_159915_SZ+513520_SH+159985_SZ,159941.SZ,566
exempt_159915_SZ+513520_SH+159985_SZ,518880.SH,449
exempt_159915_SZ+513520_SH+159985_SZ,159985.SZ,323
exempt_159915_SZ+513520_SH+159985_SZ,513030.SH,315
exempt_159915_SZ+513520_SH+159985_SZ,513520.SH,218
exempt_159915_SZ+513520_SH+159985_SZ+518880_SH,159915.SZ,978
exempt_159915_SZ+513520_SH+159985_SZ+518880_SH,CASH,651
exempt_159915_SZ+513520_SH+159985_SZ+518880_SH,159941.SZ,566
exempt_159915_SZ+513520_SH+159985_SZ+518880_SH,518880.SH,464
exempt_159915_SZ+513520_SH+159985_SZ+518880_SH,159985.SZ,323
exempt_159915_SZ+513520_SH+159985_SZ+518880_SH,513030.SH,315
exempt_159915_SZ+513520_SH+159985_SZ+518880_SH,513520.SH,204
exempt_159915_SZ+513520_SH+518880_SH,159915.SZ,983
exempt_159915_SZ+513520_SH+518880_SH,CASH,660
exempt_159915_SZ+513520_SH+518880_SH,159941.SZ,570
exempt_159915_SZ+513520_SH+518880_SH,518880.SH,475
exempt_159915_SZ+513520_SH+518880_SH,513030.SH,315
exempt_159915_SZ+513520_SH+518880_SH,159985.SZ,294
exempt_159915_SZ+513520_SH+518880_SH,513520.SH,204
exempt_159915_SZ+518880_SH,159915.SZ,983
exempt_159915_SZ+518880_SH,CASH,660
exempt_159915_SZ+518880_SH,159941.SZ,587
exempt_159915_SZ+518880_SH,518880.SH,477
exempt_159915_SZ+518880_SH,513030.SH,319
exempt_159915_SZ+518880_SH,159985.SZ,294
exempt_159915_SZ+518880_SH,513520.SH,181
exempt_159941_SZ,CASH,740
exempt_159941_SZ,159915.SZ,726
exempt_159941_SZ,159941.SZ,665
exempt_159941_SZ,518880.SH,508
exempt_159941_SZ,513030.SH,370
exempt_159941_SZ,159985.SZ,291
exempt_159941_SZ,513520.SH,201
exempt_159941_SZ+159985_SZ,CASH,731
exempt_159941_SZ+159985_SZ,159915.SZ,723
exempt_159941_SZ+159985_SZ,159941.SZ,661
exempt_159941_SZ+159985_SZ,518880.SH,497
exempt_159941_SZ+159985_SZ,513030.SH,368
exempt_159941_SZ+159985_SZ,159985.SZ,322
exempt_159941_SZ+159985_SZ,513520.SH,199
exempt_159941_SZ+159985_SZ+518880_SH,CASH,730
exempt_159941_SZ+159985_SZ+518880_SH,159915.SZ,723
exempt_159941_SZ+159985_SZ+518880_SH,159941.SZ,659
exempt_159941_SZ+159985_SZ+518880_SH,518880.SH,512
exempt_159941_SZ+159985_SZ+518880_SH,513030.SH,368
exempt_159941_SZ+159985_SZ+518880_SH,159985.SZ,322
exempt_159941_SZ+159985_SZ+518880_SH,513520.SH,187
exempt_159941_SZ+513030_SH,CASH,740
exempt_159941_SZ+513030_SH,159915.SZ,726
exempt_159941_SZ+513030_SH,159941.SZ,661
exempt_159941_SZ+513030_SH,518880.SH,508
exempt_159941_SZ+513030_SH,513030.SH,398
exempt_159941_SZ+513030_SH,159985.SZ,289
exempt_159941_SZ+513030_SH,513520.SH,179
exempt_159941_SZ+513030_SH+159985_SZ,CASH,731
exempt_159941_SZ+513030_SH+159985_SZ,159915.SZ,723
exempt_159941_SZ+513030_SH+159985_SZ,159941.SZ,657
exempt_159941_SZ+513030_SH+159985_SZ,518880.SH,497
exempt_159941_SZ+513030_SH+159985_SZ,513030.SH,396
exempt_159941_SZ+513030_SH+159985_SZ,159985.SZ,320
exempt_159941_SZ+513030_SH+159985_SZ,513520.SH,177
exempt_159941_SZ+513030_SH+159985_SZ+518880_SH,CASH,730
exempt_159941_SZ+513030_SH+159985_SZ+518880_SH,159915.SZ,723
exempt_159941_SZ+513030_SH+159985_SZ+518880_SH,159941.SZ,655
exempt_159941_SZ+513030_SH+159985_SZ+518880_SH,518880.SH,512
exempt_159941_SZ+513030_SH+159985_SZ+518880_SH,513030.SH,396
exempt_159941_SZ+513030_SH+159985_SZ+518880_SH,159985.SZ,320
exempt_159941_SZ+513030_SH+159985_SZ+518880_SH,513520.SH,165
exempt_159941_SZ+513030_SH+513520_SH,CASH,740
exempt_159941_SZ+513030_SH+513520_SH,159915.SZ,726
exempt_159941_SZ+513030_SH+513520_SH,159941.SZ,642
exempt_159941_SZ+513030_SH+513520_SH,518880.SH,506
exempt_159941_SZ+513030_SH+513520_SH,513030.SH,394
exempt_159941_SZ+513030_SH+513520_SH,159985.SZ,289
exempt_159941_SZ+513030_SH+513520_SH,513520.SH,204
exempt_159941_SZ+513030_SH+513520_SH+159985_SZ,CASH,731
exempt_159941_SZ+513030_SH+513520_SH+159985_SZ,159915.SZ,723
exempt_159941_SZ+513030_SH+513520_SH+159985_SZ,159941.SZ,638
exempt_159941_SZ+513030_SH+513520_SH+159985_SZ,518880.SH,495
exempt_159941_SZ+513030_SH+513520_SH+159985_SZ,513030.SH,392
exempt_159941_SZ+513030_SH+513520_SH+159985_SZ,159985.SZ,320
exempt_159941_SZ+513030_SH+513520_SH+159985_SZ,513520.SH,202
exempt_159941_SZ+513030_SH+513520_SH+159985_SZ+518880_SH,CASH,730
exempt_159941_SZ+513030_SH+513520_SH+159985_SZ+518880_SH,159915.SZ,723
exempt_159941_SZ+513030_SH+513520_SH+159985_SZ+518880_SH,159941.SZ,638
exempt_159941_SZ+513030_SH+513520_SH+159985_SZ+518880_SH,518880.SH,510
exempt_159941_SZ+513030_SH+513520_SH+159985_SZ+518880_SH,513030.SH,392
exempt_159941_SZ+513030_SH+513520_SH+159985_SZ+518880_SH,159985.SZ,320
exempt_159941_SZ+513030_SH+513520_SH+159985_SZ+518880_SH,513520.SH,188
exempt_159941_SZ+513030_SH+513520_SH+518880_SH,CASH,739
exempt_159941_SZ+513030_SH+513520_SH+518880_SH,159915.SZ,726
exempt_159941_SZ+513030_SH+513520_SH+518880_SH,159941.SZ,642
exempt_159941_SZ+513030_SH+513520_SH+518880_SH,518880.SH,521
exempt_159941_SZ+513030_SH+513520_SH+518880_SH,513030.SH,394
exempt_159941_SZ+513030_SH+513520_SH+518880_SH,159985.SZ,289
exempt_159941_SZ+513030_SH+513520_SH+518880_SH,513520.SH,190
exempt_159941_SZ+513030_SH+518880_SH,CASH,739
exempt_159941_SZ+513030_SH+518880_SH,159915.SZ,726
exempt_159941_SZ+513030_SH+518880_SH,159941.SZ,659
exempt_159941_SZ+513030_SH+518880_SH,518880.SH,523
exempt_159941_SZ+513030_SH+518880_SH,513030.SH,398
exempt_159941_SZ+513030_SH+518880_SH,159985.SZ,289
