scenario,switch_buffer,position,start,end,trading_days,calendar_days
switch_buffer_1.03,1.03,159915.SZ,2021-07-23,2021-07-23,1,1
switch_buffer_1.03,1.03,159941.SZ,2021-07-26,2021-08-13,15,19
switch_buffer_1.03,1.03,513030.SH,2021-08-16,2021-08-24,7,9
switch_buffer_1.03,1.03,159941.SZ,2021-08-25,2021-09-06,9,13
switch_buffer_1.03,1.03,513520.SH,2021-09-07,2021-09-29,15,23
switch_buffer_1.03,1.03,CASH,2021-09-30,2021-10-18,8,19
switch_buffer_1.03,1.03,159915.SZ,2021-10-19,2021-11-01,10,14
switch_buffer_1.03,1.03,159941.SZ,2021-11-02,2021-11-23,16,22
switch_buffer_1.03,1.03,159915.SZ,2021-11-24,2021-12-03,8,10
switch_buffer_1.03,1.03,159985.SZ,2021-12-06,2022-01-07,24,33
switch_buffer_1.03,1.03,513030.SH,2022-01-10,2022-01-18,7,9
switch_buffer_1.03,1.03,CASH,2022-01-19,2022-01-19,1,1
switch_buffer_1.03,1.03,518880.SH,2022-01-20,2022-01-26,5,7
switch_buffer_1.03,1.03,CASH,2022-01-27,2022-01-27,1,1
switch_buffer_1.03,1.03,159985.SZ,2022-01-28,2022-02-09,4,13
switch_buffer_1.03,1.03,CASH,2022-02-10,2022-02-14,3,5
switch_buffer_1.03,1.03,518880.SH,2022-02-15,2022-03-01,11,15
switch_buffer_1.03,1.03,159985.SZ,2022-03-02,2022-03-28,19,27
switch_buffer_1.03,1.03,159941.SZ,2022-03-29,2022-03-31,3,3
switch_buffer_1.03,1.03,513030.SH,2022-04-01,2022-04-01,1,1
switch_buffer_1.03,1.03,159941.SZ,2022-04-06,2022-04-12,5,7
switch_buffer_1.03,1.03,CASH,2022-04-13,2022-04-14,2,2
switch_buffer_1.03,1.03,518880.SH,2022-04-15,2022-04-27,9,13
switch_buffer_1.03,1.03,CASH,2022-04-28,2022-04-28,1,1
switch_buffer_1.03,1.03,518880.SH,2022-04-29,2022-04-29,1,1
switch_buffer_1.03,1.03,159985.SZ,2022-05-05,2022-05-06,2,2
switch_buffer_1.03,1.03,CASH,2022-05-09,2022-05-19,9,11
switch_buffer_1.03,1.03,159985.SZ,2022-05-20,2022-05-20,1,1
switch_buffer_1.03,1.03,159915.SZ,2022-05-23,2022-05-26,4,4
switch_buffer_1.03,1.03,159985.SZ,2022-05-27,2022-05-31,3,5
switch_buffer_1.03,1.03,513030.SH,2022-06-01,2022-06-06,3,6
switch_buffer_1.03,1.03,159915.SZ,2022-06-07,2022-06-22,12,16
switch_buffer_1.03,1.03,CASH,2022-06-23,2022-07-01,7,9
switch_buffer_1.03,1.03,159915.SZ,2022-07-04,2022-07-14,9,11
switch_buffer_1.03,1.03,159941.SZ,2022-07-15,2022-08-23,28,40
switch_buffer_1.03,1.03,159985.SZ,2022-08-24,2022-10-18,34,56
switch_buffer_1.03,1.03,518880.SH,2022-10-19,2022-10-24,4,6
switch_buffer_1.03,1.03,513030.SH,2022-10-25,2022-10-31,5,7
switch_buffer_1.03,1.03,159941.SZ,2022-11-01,2022-11-01,1,1
switch_buffer_1.03,1.03,513520.SH,2022-11-02,2022-11-02,1,1
switch_buffer_1.03,1.03,513030.SH,2022-11-03,2022-11-14,8,12
switch_buffer_1.03,1.03,513520.SH,2022-11-15,2022-11-23,7,9
switch_buffer_1.03,1.03,513030.SH,2022-11-24,2022-12-07,10,14
switch_buffer_1.03,1.03,159985.SZ,2022-12-08,2023-01-09,22,33
switch_buffer_1.03,1.03,159915.SZ,2023-01-10,2023-02-06,15,28
switch_buffer_1.03,1.03,159941.SZ,2023-02-07,2023-02-23,13,17
switch_buffer_1.03,1.03,513030.SH,2023-02-24,2023-02-27,2,4
