version,scenario,window,start,end,days,total,cagr,maxdd,sharpe,vol,cash_days,half_position_days,pending_days,staged_initials,staged_fills,overheat_days,overheat_triggers,overheat_recoveries,trades,cost_sum,turnover_sum,avg_scale,avg_final_exposure,max_final_exposure,pool_label,pool,dropped,delta_cagr,delta_maxdd,delta_sharpe,delta_vol,maxdd_improve_abs
1.1,v1_1_staged_50_plus_ma60_overheat,1Y,2025-05-15,2026-05-15,252,0.5190222949115557,0.5190222949115557,-0.10221328095227689,1.968498460321525,0.225492357808959,27,50,50,28,23,0,0,0,146,0.07470740735480193,74.70740735480192,1.447247122440935,1.1516586881591997,1.5,drop_PDBC,"QQQ,GLD,TLT,EEM,VEA",PDBC,0.1362690485281779,0.006000507923177523,0.46581016093279803,-0.008632323779923817,0.006000507923177523
1.1,v1_1_staged_50_plus_ma60_overheat,15Y,2011-05-05,2026-05-15,3780,4.2099634690405185,0.11632070148888962,-0.44634577165389777,0.6444280642955181,0.20266312888045274,447,673,673,315,287,0,0,0,1199,0.8704094151518531,870.409415151853,1.4424638322263679,1.149045711368255,1.5,drop_EEM,"QQQ,GLD,TLT,PDBC,VEA",EEM,0.014646289541783153,-0.03447715994686029,0.07185171230919107,-0.0036781929252902024,-0.03447715994686029
1.1,v1_1_staged_50_plus_ma60_overheat,10Y,2016-05-09,2026-05-15,2520,3.1045547927830226,0.15166615954688112,-0.37768902766795087,0.7756562465069202,0.21073696239929962,274,451,451,213,193,0,0,0,896,0.5845351726060711,584.535172606071,1.4357976930628555,1.158257577042952,1.5,drop_EEM,"QQQ,GLD,TLT,PDBC,VEA",EEM,0.025858781206499426,-0.031795350835474356,0.1097372176947563,-0.0009145181248484957,-0.031795350835474356
1.1,v1_1_staged_50_plus_ma60_overheat,from_2020,2020-01-02,2026-05-15,1601,3.075892735151533,0.24752728004684021,-0.2418962471202989,1.0608258594650581,0.2345040102986769,203,273,273,128,119,0,0,0,713,0.3461472392214541,346.1472392214541,1.3993327579191077,1.1123152012515465,1.5,drop_EEM,"QQQ,GLD,TLT,PDBC,VEA",EEM,0.02734793946150349,-0.01139124822841775,0.0970342785660725,-0.0008208553379251138,-0.01139124822841775
1.1,v1_1_staged_50_plus_ma60_overheat,5Y,2021-05-11,2026-05-15,1260,1.9640884539350978,0.24273414752828648,-0.241896247120299,1.0798937437348077,0.22465182967424127,160,208,208,95,89,0,0,0,490,0.267229011209134,267.22901120913394,1.4393246838992264,1.1436643029992803,1.5,drop_EEM,"QQQ,GLD,TLT,PDBC,VEA",EEM,0.0390121124467242,-0.01139124822841775,0.14116295057190398,0.00026683297708188225,-0.01139124822841775
1.1,v1_1_staged_50_plus_ma60_overheat,3Y,2023-05-11,2026-05-15,756,1.1675698147564058,0.29416911559594583,-0.241896247120299,1.2772102295476833,0.22114992118810062,64,135,135,62,59,0,0,0,252,0.173597926580924,173.59792658092397,1.455614252754538,1.2046410073869702,1.5,drop_EEM,"QQQ,GLD,TLT,PDBC,VEA",EEM,0.0602624880745497,-0.01139124822841775,0.21513301103818305,0.00014214223287803418,-0.01139124822841775
1.1,v1_1_staged_50_plus_ma60_overheat,1Y,2025-05-15,2026-05-15,252,0.5584529339338726,0.5584529339338726,-0.10821378887545463,2.0068768788918816,0.23508349076033364,11,58,58,29,26,0,0,0,170,0.07521971455331584,75.21971455331584,1.3689090822591201,1.160383840112244,1.5,drop_EEM,"QQQ,GLD,TLT,PDBC,VEA",EEM,0.1756996875504948,-2.220446049250313e-16,0.5041885795031547,0.0009588091714508307,-2.220446049250313e-16
1.1,v1_1_staged_50_plus_ma60_overheat,15Y,2011-05-05,2026-05-15,3780,2.983739951166424,0.09652717388401522,-0.39421807660283814,0.55022140393043,0.20616563217647996,475,683,683,324,286,0,0,0,1196,0.881009873834448,881.009873834448,1.44608396310857,1.1394357848357277,1.5,drop_VEA,"QQQ,GLD,TLT,PDBC,EEM",VEA,-0.005147238063091253,0.01765053510419934,-0.022354948055897106,-0.0001756896292629817,0.01765053510419934
1.1,v1_1_staged_50_plus_ma60_overheat,10Y,2016-05-09,2026-05-15,2520,2.272022406716033,0.1258528379899735,-0.30009257019195157,0.6664333136409664,0.211534001036626,299,467,467,218,196,0,0,0,870,0.5982322941166351,598.2322941166351,1.4433288427930608,1.1446128529726354,1.5,drop_VEA,"QQQ,GLD,TLT,PDBC,EEM",VEA,4.5459649591794715e-05,0.04580110664052495,0.0005142848288024471,-0.00011747948752210968,0.04580110664052495
1.1,v1_1_staged_50_plus_ma60_overheat,from_2020,2020-01-02,2026-05-15,1601,2.294361471885084,0.20641863139006045,-0.25929521716313486,0.9164244583000255,0.23506293809794074,221,281,281,133,121,0,0,0,675,0.35880226179566066,358.8022617956607,1.4124733892134342,1.1022398502593063,1.5,drop_VEA,"QQQ,GLD,TLT,PDBC,EEM",VEA,-0.013760709195276277,-0.02879021827125372,-0.04736712259896014,-0.0002619275386612774,-0.02879021827125372
1.1,v1_1_staged_50_plus_ma60_overheat,5Y,2021-05-11,2026-05-15,1260,1.2547610015369637,0.1765763185940934,-0.25929521716313486,0.8384270944890879,0.22391607218838672,176,213,213,97,89,0,0,0,444,0.2724491222885169,272.44912228851695,1.4517568748739882,1.1327965962621385,1.5,drop_VEA,"QQQ,GLD,TLT,PDBC,EEM",VEA,-0.027145716487468885,-0.02879021827125361,-0.10030369867381583,-0.00046892450877267233,-0.02879021827125361
1.1,v1_1_staged_50_plus_ma60_overheat,3Y,2023-05-11,2026-05-15,756,0.9132583322653025,0.24143657910923322,-0.22382200663286245,1.087594950728276,0.22152966262161142,66,137,137,62,57,0,0,0,253,0.17230465572904713,172.30465572904714,1.4618036060699533,1.204011425706102,1.5,drop_VEA,"QQQ,GLD,TLT,PDBC,EEM",VEA,0.0075299515878370915,0.006682992259018805,0.025517732218775846,0.0005218836663888338,0.006682992259018805
1.1,v1_1_staged_50_plus_ma60_overheat,1Y,2025-05-15,2026-05-15,252,0.4019886234016872,0.4019886234016872,-0.11381429625565076,1.5604313109421841,0.23435565394805047,12,64,64,29,25,0,0,0,170,0.0754130109818279,75.4130109818279,1.387496480144321,1.1527376931284135,1.5,drop_VEA,"QQQ,GLD,TLT,PDBC,EEM",VEA,0.019235377018309352,-0.005600507380196351,0.05774301155345718,0.0002309723591676638,-0.005600507380196351
