scenario,decay_trigger,recovery_trigger,window,start,end,rows,total_return,annual_return,max_drawdown,vol,sharpe,trades,cash_days,overheat_days,score_decay_days,score_decay_triggers,score_decay_recoveries,avg_scale,avg_final_exposure
decay_0.40_recover_1.00,0.4,1.0,6Y,2020-05-08,2026-05-08,1454,2.175408733639614,0.212417951676807,-0.21724536726591903,0.21973991541493612,1.0209760034829722,274,237,49,149,29,29,1.14040015220427,0.8394695470745315
decay_0.40_recover_1.00,0.4,1.0,3Y,2023-05-08,2026-05-08,727,0.7575100927988176,0.20674077818217818,-0.21724536726591903,0.20729237044286114,1.068362301445696,130,145,33,100,15,15,1.0561751132016515,0.7218132524576811
decay_0.40_recover_1.00,0.4,1.0,1Y,2025-05-08,2026-05-08,243,-0.006979034965020947,-0.00698379839513541,-0.006979034965020947,0.0026552108758064346,-2.733967130597302,40,51,17,40,7,7,1.0308641975308641,0.6759259259259259
decay_0.50_recover_0.60,0.5,0.6,from_2020,2020-01-02,2026-05-08,1535,2.7451651810709525,0.23129608820547554,-0.2064596431996909,0.226163800096305,1.0927407485231662,301,297,53,202,42,42,1.1428763374758837,0.8071573557678506
decay_0.50_recover_0.60,0.5,0.6,6Y,2020-05-08,2026-05-08,1454,2.534045218264107,0.23423977172315302,-0.2064596431996909,0.21863767619735483,1.1097414169431734,284,285,50,197,40,40,1.1515014153001581,0.8111388477497825
decay_0.50_recover_0.60,0.5,0.6,3Y,2023-05-08,2026-05-08,727,0.8609520698170383,0.2299606580636926,-0.20501221619800503,0.20551992018828233,1.1471151553937093,133,165,34,120,18,19,1.0580353825334428,0.6974836822026387
decay_0.50_recover_0.60,0.5,0.6,1Y,2025-05-08,2026-05-08,243,-0.006979034965020836,-0.006983798395135299,-0.006979034965020836,0.0026552108758064346,-2.733967130597302,40,54,17,43,7,7,1.0308641975308641,0.661522633744856
decay_0.50_recover_0.70,0.5,0.7,from_2020,2020-01-02,2026-05-08,1535,2.74910419478023,0.23150005688767505,-0.20647535559034225,0.22616334175449546,1.0935063287935123,301,299,53,204,42,42,1.1428811187676542,0.8058906119685025
decay_0.50_recover_0.70,0.5,0.7,6Y,2020-05-08,2026-05-08,1454,2.537762184510165,0.23445608026322562,-0.20647535559034236,0.21863719055957762,1.1105775147254382,284,287,50,199,40,40,1.1515064629499987,0.8098015356920114
decay_0.50_recover_0.70,0.5,0.7,3Y,2023-05-08,2026-05-08,727,0.8609442932067561,0.22995894518485716,-0.20501221619800503,0.20551993626153187,1.147108027143842,133,166,34,121,18,19,1.0580356778625375,0.6956325569022247
